id;name;score;episodes;aired;broadcast;source;duration;ranked;members;studios;genres;recomendation
10;Koe no Katachi;9.06;1;Sep 17, 2016;None;Manga;2 hr. 10 min.;2;355,243;Kyoto Animation;Drama|School|Shounen;Kimi no Na wa.<>9 Users|Kokoro ga Sakebitagatterunda.<>8 Users|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.<>6 Users|3-gatsu no Lion<>3 Users|Aura: Maryuuin Kouga Saigo no Tatakai<>2 Users|Dareka no Manazashi<>2 Users|Shigatsu wa Kimi no Uso<>2 Users|Colorful (Movie)<>2 Users|Kotoura-san<>1 User|Byousoku 5 Centimeter<>1 User|Tamako Love Story<>1 User|Boku dake ga Inai Machi<>1 User|Eve no Jikan (Movie)<>1 User|Orange<>1 User|Isshuukan Friends.<>1 User|Re:Zero kara Hajimeru Isekai Seikatsu<>1 User|Natsume Yuujinchou<>1 User|Ore no Kanojo to Osananajimi ga Shuraba Sugiru<>1 User|Omoide no Marnie<>1 User|Clannad: After Story<>1 User|Ao Haru Ride<>1 User|Kyoukai no Kanata<>1 User|NHK ni Youkoso!<>1 User|Mahou Shoujo Madoka★Magica<>1 User
11;Gintama.: Porori-hen;9.04;Unknown;Oct 2, 2017 to ?;Mondays at 01:35 (JST);Manga;23 min.;2;32,616;Bandai Namco Pictures;Action|Sci-Fi|Comedy|Historical|Parody|Samurai|Shounen;
12;Clannad: After Story;9.03;24;Oct 3, 2008 to Mar 27, 2009;Fridays at 01:59 (JST);Visual novel;24 min. per ep.;2;550,527;Kyoto Animation;Drama|Fantasy|Romance|Slice of Life|Supernatural;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.<>30 Users|Shigatsu wa Kimi no Uso<>24 Users|Angel Beats!<>22 Users|Itazura na Kiss<>15 Users|Little Busters!: Refrain<>12 Users|Kanon (2006)<>11 Users|Usagi Drop<>9 Users|Byousoku 5 Centimeter<>9 Users|Myself , Yourself<>7 Users|Nagi no Asukara<>7 Users|Ookami Kodomo no Ame to Yuki<>7 Users|Aria The Origination<>6 Users|Toradora!<>6 Users|ef: A Tale of Memories.<>5 Users|ef: A Tale of Melodies.<>5 Users|Steins,Gate<>5 Users|Kimi ga Nozomu Eien<>5 Users|Kobato.<>4 Users|Aishiteruze Baby★★<>3 Users|Air<>3 Users|Kimi no Na wa.<>3 Users|Nana<>3 Users|Kumo no Mukou, Yakusoku no Basho<>2 Users|Kanojo to Kanojo no Neko: Everything Flows<>2 Users
13;Gintama.;9.03;12;Jan 9, 2017 to Mar 27, 2017;Mondays at 01:35 (JST);Manga;24 min. per ep.;2;72,228;Bandai Namco Pictures;Action|Comedy|Historical|Parody|Samurai|Sci-Fi|Shounen;Gintama°<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo! 2<>AutoRec|Re:Zero kara Hajimeru Isekai Seikatsu<>AutoRec|Mob Psycho 100<>AutoRec|One Punch Man<>AutoRec|Boku no Hero Academia<>AutoRec|Gintama'<>AutoRec|Gintama<>AutoRec|Kimi no Na wa.<>AutoRec|Boku dake ga Inai Machi<>AutoRec
14;Gintama;9.02;201;Apr 4, 2006 to Mar 25, 2010;Thursdays at 18:00 (JST);Manga;24 min. per ep.;2;412,961;Sunrise;Action|Sci-Fi|Comedy|Historical|Parody|Samurai|Shounen;SKET Dance<>42 Users|Danshi Koukousei no Nichijou<>37 Users|Beelzebub<>18 Users|One Punch Man<>15 Users|Hayate no Gotoku!<>15 Users|Rurouni Kenshin: Meiji Kenkaku Romantan<>12 Users|Cowboy Bebop<>12 Users|Binbougami ga!<>11 Users|Great Teacher Onizuka<>9 Users|Arakawa Under the Bridge<>8 Users|Noragami<>7 Users|Saiki Kusuo no Ψ-nan (TV)<>7 Users|Osomatsu-san<>7 Users|One Piece<>7 Users|School Rumble<>6 Users|Level E<>6 Users|Bleach<>6 Users|GetBackers<>6 Users|Sakigake!! Cromartie Koukou<>6 Users|Ansatsu Kyoushitsu (TV)<>5 Users|Ixion Saga DT<>5 Users|Katekyo Hitman Reborn!<>5 Users|Hoozuki no Reitetsu<>5 Users|Heppoko Jikken Animation Excel♥Saga<>5 Users
15;Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou;9.01;10;Oct 8, 2016 to Dec 10, 2016;Saturdays at 01:55 (JST);Manga;24 min. per ep.;2;200,165;Production I.G;Comedy|Sports|Drama|School|Shounen;Yuri!!! on Ice<>1 User|Haikyuu!! Second Season<>AutoRec|Haikyuu!!<>AutoRec|Boku no Hero Academia<>AutoRec|One Punch Man<>AutoRec|Re:Zero kara Hajimeru Isekai Seikatsu<>AutoRec|Boku dake ga Inai Machi<>AutoRec|Shokugeki no Souma: Ni no Sara<>AutoRec|Kimi no Na wa.<>AutoRec|Shingeki no Kyojin<>AutoRec|Mob Psycho 100<>AutoRec
16;Code Geass: Hangyaku no Lelouch R2;8.96;25;Apr 6, 2008 to Sep 28, 2008;Sundays at 17:00 (JST);Original;24 min. per ep.;2;707,657;Sunrise;Action|Drama|Mecha|Military|Sci-Fi|Super Power;Death Note<>35 Users|Guilty Crown<>4 Users|Mobile Suit Gundam 00<>3 Users|Steins,Gate<>3 Users|Jormungand: Perfect Order<>2 Users|Ginga Eiyuu Densetsu<>2 Users|Tengen Toppa Gurren Lagann<>2 Users|Fullmetal Alchemist: Brotherhood<>2 Users|One Outs<>2 Users|X<>2 Users|Neon Genesis Evangelion<>2 Users|Kannazuki no Miko<>2 Users|The Big O<>1 User|Kyoushirou to Towa no Sora<>1 User|Mahou Shoujo Madoka★Magica<>1 User|Persona 5 the Animation: The Day Breakers<>1 User|Macross F<>1 User|Rekka no Honoo<>1 User|Mirai Nikki (TV)<>1 User|Zetsuen no Tempest<>1 User|Shingeki no Kyojin<>1 User|Utawarerumono<>1 User|Mobile Suit Gundam: Iron-Blooded Orphans<>1 User|Nobunaga the Fool<>1 User
17;Made in Abyss;8.92;13;Jul 7, 2017 to Sep 29, 2017;Fridays at 21:30 (JST);Web manga;25 min. per ep.;2;158,880;Kinema Citrus;Sci-Fi|Adventure|Mystery|Drama|Fantasy;Hunter x Hunter (2011)<>15 Users|Shinsekai yori<>13 Users|Mahou Shoujo Madoka★Magica<>6 Users|Shoujo Shuumatsu Ryokou<>5 Users|Dennou Coil<>4 Users|Kaiba<>4 Users|Kaze no Tani no Nausicaä<>3 Users|Fullmetal Alchemist: Brotherhood<>3 Users|Kujira no Kora wa Sajou ni Utau<>2 Users|Blame! Movie<>2 Users|Shingeki no Kyojin<>2 Users|Hoshi wo Ou Kodomo<>2 Users|Mujin Wakusei Survive<>2 Users|Kemono Friends<>2 Users|Gakkougurashi!<>2 Users|Kemono no Souja Erin<>1 User|Katanagatari<>1 User|Sakasama no Patema<>1 User|Alien 9<>1 User|Pandora Hearts<>1 User|Ima, Soko ni Iru Boku<>1 User|Haibane Renmei<>1 User|Re:Zero kara Hajimeru Isekai Seikatsu<>1 User|Mononoke Hime<>1 User
18;Sen to Chihiro no Kamikakushi;8.92;1;Jul 20, 2001;None;Original;2 hr. 5 min.;2;613,302;Studio Ghibli;Adventure|Supernatural|Drama;Howl no Ugoku Shiro<>20 Users|Natsume Yuujinchou<>13 Users|Hotarubi no Mori e<>7 Users|Hoshi wo Ou Kodomo<>7 Users|Mononoke Hime<>6 Users|Paprika<>5 Users|Brave Story<>5 Users|Mushishi<>5 Users|Bakemono no Ko<>5 Users|Kamichu!<>4 Users|Hanasaku Iroha<>4 Users|Majo no Takkyuubin<>4 Users|Hottarake no Shima: Haruka to Mahou no Kagami<>3 Users|Mimi wo Sumaseba<>3 Users|Momo e no Tegami<>3 Users|Gake no Ue no Ponyo<>3 Users|Shinsekai yori<>3 Users|InuYasha<>2 Users|Neko no Ongaeshi<>2 Users|Tonari no Totoro<>2 Users|Karigurashi no Arrietty<>2 Users|Xiao Qian<>2 Users|Majokko Shimai no Yoyo to Nene<>2 Users|Haibane Renmei<>2 Users
19;Kizumonogatari III: Reiketsu-hen;8.91;1;Jan 6, 2017;None;Light novel;1 hr. 23 min.;2;93,396;Shaft;Action|Mystery|Supernatural|Vampire;Kizumonogatari II: Nekketsu-hen<>AutoRec|Kizumonogatari I: Tekketsu-hen<>AutoRec|Kimi no Na wa.<>AutoRec|Re:Zero kara Hajimeru Isekai Seikatsu<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo! 2<>AutoRec|Kobayashi-san Chi no Maid Dragon<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo!<>AutoRec|Bakemonogatari<>AutoRec|One Punch Man<>AutoRec|Owarimonogatari<>AutoRec
