id;name;score;episodes;aired;broadcast;source;duration;ranked;members;studios;genres;recomendation
1708;Seitokai no Ichizon;7.47;12;Oct 3, 2009 to Dec 19, 2009;Unknown;Light novel;24 min. per ep.;2;123,656;Studio Deen;Parody|Comedy|Harem|School;Seitokai Yakuindomo<>24 Users|Lucky☆Star<>12 Users|GJ-bu<>7 Users|Boku wa Tomodachi ga Sukunai<>6 Users|Baka to Test to Shoukanjuu<>6 Users|Suzumiya Haruhi no Yuuutsu<>5 Users|Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu<>5 Users|Kore wa Zombie Desu ka?<>4 Users|D-Frag!<>3 Users|Genshiken<>3 Users|MM!<>3 Users|Hayate no Gotoku!<>3 Users|K-On!<>2 Users|Medaka Box<>2 Users|Gamers!<>2 Users|Working!!<>2 Users|Kitakubu Katsudou Kiroku<>2 Users|Sayonara Zetsubou Sensei<>2 Users|Hentai Ouji to Warawanai Neko.<>2 Users|Koi to Senkyo to Chocolate<>2 Users|Saki<>1 User|Netoge no Yome wa Onnanoko ja Nai to Omotta?<>1 User|Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru<>1 User|SKET Dance<>1 User
1709;Soredemo Machi wa Mawatteiru;7.47;12;Oct 8, 2010 to Dec 24, 2010;Unknown;Manga;24 min. per ep.;2;35,976;Shaft;Comedy|Slice of Life;Natsu no Arashi!<>3 Users|Working!!<>2 Users|Tamako Market<>2 Users|Sayonara Zetsubou Sensei<>2 Users|Nichijou<>2 Users|Aho Girl<>1 User|Yojouhan Shinwa Taikei<>1 User|Gintama<>1 User|A-Channel<>1 User|Minami-ke<>1 User|Lucky☆Star<>1 User|Kaichou wa Maid-sama!<>1 User|Katte ni Kaizou<>1 User|Hyakko<>1 User|Gochuumon wa Usagi desu ka?<>1 User|Genshiken<>1 User|Arakawa Under the Bridge<>1 User|Bakuon!!<>1 User|Nisemonogatari<>1 User
1710;Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots;7.47;1;Mar 19, 1988;None;Original;56 min.;2;2,314;add some;Drama|Mecha|Military|Sci-Fi;Mobile Suit Gundam 0080: War in the Pocket<>1 User|Soukou Kihei Votoms<>AutoRec|Soukou Kihei Votoms: The Last Red Shoulder<>AutoRec|Soukou Kihei Votoms: Pailsen Files<>AutoRec|Soukou Kihei Votoms: Big Battle<>AutoRec|Soukou Kihei Votoms: Kakuyaku taru Itan<>AutoRec|Soukou Kihei Votoms: Koei Futatabi<>AutoRec|Mobile Suit Zeta Gundam<>AutoRec|Soukou Kihei Votoms: Gen-ei Hen<>AutoRec|Cowboy Bebop<>AutoRec
1711;Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!;7.47;1;Sep 25, 1993;None;Original;43 min.;2;9,753;AIC;Comedy|Harem|Romance|Sci-Fi|Shounen;Tenchi Muyou! Ryououki<>AutoRec|Tenchi Muyou! Ryououki 2nd Season<>AutoRec|Tenchi Muyou! Ryououki 3rd Season<>AutoRec|Tenchi Muyou!<>AutoRec|Tenchi Muyou! in Love<>AutoRec|Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|Tenchi Muyou! Manatsu no Eve<>AutoRec|Cowboy Bebop<>AutoRec|Trigun<>AutoRec
1712;Tibet Inu Monogatari;7.47;1;Jun 6, 2011;None;Unknown;1 hr. 27 min.;2;3,177;Madhouse;Adventure;Daisetsusan no Yuusha Kibaou<>1 User|Arano no Sakebi Koe: Hoero, Buck<>1 User|Jungle Taitei Movie (1997)<>1 User|Sougen no Ko Tenguri<>1 User|Kemono no Souja Erin<>1 User|Flanders no Inu (Movie)<>1 User
1713;Time Travel Tondekeman!;7.47;39;Oct 19, 1989 to Aug 26, 1990;Unknown;Original;23 min. per ep.;2;1,152;Asahi Production;Action|Kids|Adventure|Comedy;Steins,Gate<>1 User|Death Note<>AutoRec|Slam Dunk<>AutoRec|Shingeki no Kyojin<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|One Piece<>AutoRec|Hunter x Hunter<>AutoRec|Watashi no Ashinaga Ojisan<>AutoRec|Naruto: Shippuuden<>AutoRec|Howl no Ugoku Shiro<>AutoRec|Ouran Koukou Host Club<>AutoRec
1714;To LOVE-Ru OVA;7.47;6;Apr 3, 2009 to Apr 2, 2010;None;Manga;25 min. per ep.;2;93,262;Xebec;Comedy|Ecchi|Harem|School|Sci-Fi|Shounen;To LOVE-Ru<>AutoRec|Motto To LOVE-Ru<>AutoRec|To LOVE-Ru Darkness<>AutoRec|To LOVE-Ru Darkness OVA<>AutoRec|Sword Art Online<>AutoRec|High School DxD<>AutoRec|To LOVE-Ru Darkness 2nd<>AutoRec|Toradora!<>AutoRec|Shingeki no Kyojin<>AutoRec|No Game No Life<>AutoRec
1715;Tokyo Ghoul √A;7.47;12;Jan 9, 2015 to Mar 27, 2015;Fridays at 00:00 (JST);Manga;24 min. per ep.;2;572,174;Studio Pierrot;Action|Mystery|Horror|Psychological|Supernatural|Drama|Seinen;Akame ga Kill!<>5 Users|Kiseijuu: Sei no Kakuritsu<>4 Users|Guilty Crown<>2 Users|Shiki<>2 Users|Owari no Seraph: Nagoya Kessen-hen<>1 User|Zankyou no Terror<>1 User|Death Note<>1 User|Psycho-Pass<>1 User|Ookami Kodomo no Ame to Yuki<>1 User|Fate/stay night: Unlimited Blade Works<>1 User|Pupa<>1 User|Zettai Karen Children: The Unlimited - Hyoubu Kyousuke<>1 User|Ajin<>1 User|Shakugan no Shana<>1 User|Black Bullet<>1 User|Ajin 2nd Season<>1 User|s.CRY.ed<>1 User|Elfen Lied<>1 User
1716;Tonari no Seki-kun OVA;7.47;1;Jan 4, 2014;None;Unknown;13 min.;2;24,566;Shin-Ei Animation;Comedy|School|Seinen;Tonari no Seki-kun<>AutoRec|Tonari no Seki-kun Specials<>AutoRec|Shingeki no Kyojin<>AutoRec|One Punch Man<>AutoRec|No Game No Life<>AutoRec|Kimi no Na wa.<>AutoRec|Noragami<>AutoRec|Gekkan Shoujo Nozaki-kun<>AutoRec|Kill la Kill<>AutoRec|Tokyo Ghoul<>AutoRec
1717;Yowamushi Pedal: Re:RIDE;7.47;1;Sep 19, 2014;None;Manga;1 hr. 28 min.;2;6,228;TMS Entertainment;Sports|Drama|Shounen;Yowamushi Pedal<>AutoRec|Yowamushi Pedal: Grande Road<>AutoRec|Yowamushi Pedal Movie<>AutoRec|Boku no Hero Academia<>AutoRec|Yowamushi Pedal: Re:ROAD<>AutoRec|Haikyuu!! Second Season<>AutoRec|Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou<>AutoRec|Yowamushi Pedal: New Generation<>AutoRec|Yuri!!! on Ice<>AutoRec|Haikyuu!!<>AutoRec
1718;Zoids;7.47;67;Sep 4, 1999 to Dec 23, 2000;Saturdays at 18:00 (JST);Unknown;25 min. per ep.;2;30,841;Xebec;Action|Adventure|Comedy|Mecha|Sci-Fi;Tengen Toppa Gurren Lagann<>2 Users|Aldnoah.Zero<>1 User|Comet Lucifer<>1 User|Mobile Suit Gundam Seed<>1 User|Groove Adventure Rave<>1 User
1719;Acchi Kocchi;7.46;1;Jan 1, 1962;None;Original;20 min.;2;4,474;add some;Dementia;Acchi Kocchi (TV)<>AutoRec|Angel Beats!<>AutoRec|Sword Art Online<>AutoRec|Another<>AutoRec|No Game No Life<>AutoRec|Shingeki no Kyojin<>AutoRec|Toradora!<>AutoRec|Ao no Exorcist<>AutoRec|Death Note<>AutoRec|Accel World<>AutoRec
1720;Another: The Other - Inga;7.46;1;May 26, 2012;None;Novel;24 min.;2;101,731;P.A. Works;Horror|Mystery|Thriller;Kuro no Sumika: Chronus<>1 User|Another<>AutoRec|Shingeki no Kyojin<>AutoRec|Death Note<>AutoRec|Mirai Nikki (TV)<>AutoRec|Sword Art Online<>AutoRec|Angel Beats!<>AutoRec|Tokyo Ghoul<>AutoRec|Elfen Lied<>AutoRec|No Game No Life<>AutoRec|Ao no Exorcist<>AutoRec
1721;Ashita no Joe 2 (Movie);7.46;1;Jul 4, 1981;None;Unknown;1 hr. 52 min.;2;1,725;Tokyo Movie Shinsha;Drama|Sports;Rainbow: Nisha Rokubou no Shichinin<>1 User|Hajime no Ippo: Mashiba vs. Kimura<>1 User|Hajime no Ippo: Champion Road<>1 User|Hajime no Ippo<>1 User|Hajime no Ippo: New Challenger<>1 User|Ping Pong The Animation<>1 User|Hajime no Ippo: Boxer no Kobushi<>1 User
1722;Baka to Test to Shoukanjuu Specials;7.46;6;Apr 23, 2010 to Sep 22, 2010;None;Unknown;4 min. per ep.;2;33,732;Silver Link.;Magic|Comedy|School;MM! Specials<>1 User|Baka to Test to Shoukanjuu<>AutoRec|Baka to Test to Shoukanjuu Ni!<>AutoRec|Baka to Test to Shoukanjuu: Matsuri<>AutoRec|Angel Beats!<>AutoRec|Sword Art Online<>AutoRec|Shingeki no Kyojin<>AutoRec|Death Note<>AutoRec|Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai<>AutoRec|Toradora!<>AutoRec|Mirai Nikki (TV)<>AutoRec
1723;Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara;7.46;1;Jul 4, 2015;None;Original;59 min.;2;50,546;Sunrise;Action|Mecha|Military;Mobile Suit Gundam: Iron-Blooded Orphans<>1 User|Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu<>AutoRec|Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu<>AutoRec|Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita<>AutoRec|Code Geass: Boukoku no Akito 5 - Itoshiki Monotachi e<>AutoRec|One Punch Man<>AutoRec|Code Geass: Hangyaku no Lelouch<>AutoRec|Code Geass: Hangyaku no Lelouch R2<>AutoRec|Shingeki no Kyojin Season 2<>AutoRec|Re:Zero kara Hajimeru Isekai Seikatsu<>AutoRec|Boku dake ga Inai Machi<>AutoRec
1724;Date A Live II;7.46;10;Apr 12, 2014 to Jun 14, 2014;Saturdays at 01:35 (JST);Light novel;24 min. per ep.;2;238,477;Production IMS;Comedy|Harem|Mecha|Romance|School|Sci-Fi;Sekirei: Pure Engagement<>2 Users|IS: Infinite Stratos<>1 User|Kiss x Sis (TV)<>1 User|Nyan Koi!<>1 User|Zero no Tsukaima<>1 User|Kami nomi zo Shiru Sekai<>1 User
1725;Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio;7.46;1;Apr 16, 2011;None;Unknown;25 min.;2;6,081;add some;Adventure|Police|Comedy|Mystery|Shounen;Detective Conan<>AutoRec|Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey<>AutoRec|Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab<>AutoRec|Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata<>AutoRec|Detective Conan Movie 14: The Lost Ship in the Sky<>AutoRec|Detective Conan Movie 15: Quarter of Silence<>AutoRec|Detective Conan Movie 13: The Raven Chaser<>AutoRec|Detective Conan Movie 06: The Phantom of Baker Street<>AutoRec|Detective Conan Movie 05: Countdown to Heaven<>AutoRec|Detective Conan Movie 03: The Last Wizard of the Century<>AutoRec
1726;Doraemon;7.46;26;Apr 1, 1973 to Sep 30, 1973;Sundays at 19:00 (JST);Manga;25 min. per ep.;2;10,416;add some;Adventure|Comedy|Fantasy|Kids|Shounen;Robotan (1986)<>1 User|Mojakou<>1 User|Dokonjougaeru<>1 User|Kiteretsu Daihyakka<>1 User
1727;ef: A Tale of Memories. - Recollections;7.46;1;Sep 26, 2008;None;Visual novel;58 min.;2;10,019;Shaft;Mystery|Drama|Romance;ef: A Tale of Memories.<>AutoRec|ef: A Tale of Melodies.<>AutoRec|ef: A Tale of Memories. - Prologue<>AutoRec|ef: A Tale of Melodies. - Prologue<>AutoRec|Clannad<>AutoRec|Angel Beats!<>AutoRec|Clannad: After Story<>AutoRec|Death Note<>AutoRec|Toradora!<>AutoRec|Elfen Lied<>AutoRec
1728;Fullmetal Alchemist: The Sacred Star of Milos;7.46;1;Jul 2, 2011;None;Manga;1 hr. 50 min.;2;102,084;Bones;Action|Adventure|Fantasy|Magic|Comedy|Military|Drama|Shounen;Cowboy Bebop: Tengoku no Tobira<>1 User|Fullmetal Alchemist: Brotherhood<>1 User|Tales of Phantasia The Animation<>1 User|Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!<>1 User
1729;Futatsu no Spica;7.46;20;Nov 1, 2003 to Mar 27, 2004;Saturdays at 09:00 (JST);Manga;25 min. per ep.;2;6,559;Group TAC;Sci-Fi|Supernatural|Drama|School;Uchuu Kyoudai<>2 Users|Planetes<>2 Users|Sora no Manimani<>2 Users|Kaleido Star<>1 User|Uchuu no Stellvia<>1 User|Zettai Shounen<>1 User|Capeta<>1 User|Usagi Drop<>1 User|Hotarubi no Mori e<>1 User|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.<>1 User|Galaxy Angel<>1 User
1730;Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka;7.46;1;Aug 18, 2001;None;Manga;1 hr. 35 min.;2;7,160;Studio Pierrot;Adventure|Shounen|Supernatural;Shin Angyo Onshi<>1 User|Gensoumaden Saiyuuki<>AutoRec|Saiyuuki Reload<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|Saiyuuki Reload Gunlock<>AutoRec|Ouran Koukou Host Club<>AutoRec|Fullmetal Alchemist<>AutoRec|Howl no Ugoku Shiro<>AutoRec|Death Note<>AutoRec|Mononoke Hime<>AutoRec|Saiyuuki Reload: Burial<>AutoRec
1731;Grappler Baki: Saidai Tournament-hen;7.46;24;Jul 24, 2001 to Dec 25, 2001;Unknown;Manga;24 min. per ep.;2;15,909;Group TAC;Action|Sports|Martial Arts|Shounen;Shigurui<>1 User|Kidou Tenshi Angelic Layer<>1 User|Hajime no Ippo: New Challenger<>1 User|Battle Royal High School<>1 User|Air Master<>1 User
1732;Harmonie;7.46;1;Mar 1, 2014;None;Unknown;25 min.;2;34,759;Studio Rikka;Supernatural|School|Drama;Kokoro ga Sakebitagatterunda.<>1 User|Boku no Chikyuu wo Mamotte<>1 User|Shigatsu wa Kimi no Uso<>1 User|Aku no Hana<>1 User
1733;Himouto! Umaru-chan;7.46;12;Jul 9, 2015 to Sep 24, 2015;Thursdays at 02:14 (JST);Manga;24 min. per ep.;2;229,710;Doga Kobo;Comedy|School|Seinen|Slice of Life;Gabriel DropOut<>12 Users|Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!<>9 Users|Ore no Imouto ga Konnani Kawaii Wake ga Nai<>6 Users|Lucky☆Star<>5 Users|Shinryaku! Ika Musume<>3 Users|Gugure! Kokkuri-san<>3 Users|Acchi Kocchi (TV)<>2 Users|Kareshi Kanojo no Jijou<>2 Users|Osake wa Fuufu ni Natte kara<>2 Users|Miyakawa-ke no Kuufuku<>1 User|Yuru Yuri<>1 User|Gekkan Shoujo Nozaki-kun<>1 User|Barakamon<>1 User|Mikakunin de Shinkoukei<>1 User|Binbou Shimai Monogatari<>1 User|Kobayashi-san Chi no Maid Dragon<>1 User|Eromanga-sensei<>1 User|Nyanko Days<>1 User|Mitsudomoe<>1 User|Denpa Kyoushi (TV)<>1 User|Binbougami ga!<>1 User|Azumanga Daioh<>1 User|Flying Witch<>1 User|Tanaka-kun wa Itsumo Kedaruge<>1 User
1734;Honoo no Toukyuuji: Dodge Danpei;7.46;47;Oct 14, 1991 to Sep 21, 1992;Unknown;Unknown;25 min. per ep.;2;2,615;add some;Comedy|Sports;Eyeshield 21<>1 User|Death Note<>AutoRec|Shingeki no Kyojin<>AutoRec|One Piece<>AutoRec|Naruto: Shippuuden<>AutoRec|Hunter x Hunter (2011)<>AutoRec|Naruto<>AutoRec|Digimon Adventure<>AutoRec|Slam Dunk<>AutoRec|Dragon Quest: Dai no Daibouken<>AutoRec|Romeo no Aoi Sora<>AutoRec
1735;Initial D Extra Stage;7.45;2;Mar 22, 2001;None;Manga;27 min. per ep.;2;18,950;Pastel;Action|Cars|Sports|Drama|Seinen;Initial D First Stage<>AutoRec|Initial D Second Stage<>AutoRec|Initial D Third Stage<>AutoRec|Initial D Fourth Stage<>AutoRec|Initial D Extra Stage 2<>AutoRec|Initial D Fifth Stage<>AutoRec|Initial D Battle Stage<>AutoRec|Initial D Final Stage<>AutoRec|Initial D Battle Stage 2<>AutoRec|Death Note<>AutoRec
1736;Kaze no Stigma;7.46;24;Apr 13, 2007 to Sep 21, 2007;Fridays at 01:30 (JST);Light novel;24 min. per ep.;2;245,260;Gonzo;Action|Magic|Romance|Fantasy|Shounen;Shakugan no Shana<>23 Users|Darker than Black: Kuro no Keiyakusha<>11 Users|Seiken no Blacksmith<>9 Users|Densetsu no Yuusha no Densetsu<>7 Users|Hagure Yuusha no Aesthetica<>5 Users|Full Metal Panic!<>5 Users|Ghost Hunt<>5 Users|Zero no Tsukaima<>4 Users|Mahouka Koukou no Rettousei<>4 Users|Kaichou wa Maid-sama!<>4 Users|Shinrei Tantei Yakumo<>3 Users|Bleach<>3 Users|Code Geass: Hangyaku no Lelouch<>3 Users|Rakudai Kishi no Cavalry<>2 Users|Tokyo Underground<>2 Users|Katekyo Hitman Reborn!<>2 Users|Busou Renkin<>2 Users|Quanzhi Fashi<>2 Users|Ao no Exorcist<>2 Users|Chrome Shelled Regios<>2 Users|Hataraku Maou-sama!<>2 Users|Toaru Majutsu no Index<>2 Users|Fairy Tail<>2 Users|Black Cat<>2 Users
1737;Kowarekake no Orgel (Movie);7.46;1;Sep 11, 2010;None;Original;30 min.;2;11,007;add some;Sci-Fi|Music|Slice of Life|Drama;Clannad<>1 User|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.<>1 User|Plastic Memories<>1 User|Chobits<>1 User
1738;Little Busters!: Sekai no Saitou wa Ore ga Mamoru!;7.46;1;Aug 28, 2013;None;Visual novel;24 min.;2;19,283;J.C.Staff;Slice of Life|Comedy|School;Little Busters!: Refrain<>AutoRec|Little Busters!<>AutoRec|Little Busters!: EX<>AutoRec|Angel Beats!<>AutoRec|Shingeki no Kyojin<>AutoRec|No Game No Life<>AutoRec|Clannad<>AutoRec|Sword Art Online<>AutoRec|Clannad: After Story<>AutoRec|Kimi no Na wa.<>AutoRec
1739;Love Lab;7.46;13;Jul 5, 2013 to Sep 27, 2013;Fridays at 02:05 (JST);Manga;24 min. per ep.;2;96,514;Doga Kobo;Comedy|Romance|School;Yuru Yuri<>6 Users|K-On!<>3 Users|Boku wa Tomodachi ga Sukunai<>2 Users|Sabage-bu!<>2 Users|Shugo Chara!<>2 Users|Hanayamata<>1 User|Gekkan Shoujo Nozaki-kun<>1 User|Servant x Service<>1 User|Yahari Ore no Seishun Love Comedy wa Machigatteiru.<>1 User|Seitokai no Ichizon<>1 User|Barakamon<>1 User|Minami-ke<>1 User|Suzumiya Haruhi no Yuuutsu<>1 User|Joshikousei: Girl's High<>1 User|Mikakunin de Shinkoukei<>1 User|Working!!<>1 User|Acchi Kocchi (TV)<>1 User|Non Non Biyori<>1 User|GJ-bu<>1 User|Kitakubu Katsudou Kiroku<>1 User|Aiura<>1 User|Anne Happy♪<>1 User|Stella Jogakuin Koutou-ka C³-bu<>1 User|Plastic Neesan<>1 User
1740;Lupin III: Walther P-38;7.46;1;Aug 1, 1997;None;Unknown;1 hr. 33 min.;2;3,681;add some;Action|Adventure|Comedy|Mystery|Shounen;"Lupin III: Cagliostro no Shiro<>AutoRec|Lupin III: Kutabare! Nostradamus<>AutoRec|Lupin III: Episode 0 ""First Contact""<>AutoRec|Lupin III: Dead or Alive<>AutoRec|Lupin III: Honoo no Kioku - Tokyo Crisis<>AutoRec|Lupin III: Fuuma Ichizoku no Inbou<>AutoRec|Lupin III<>AutoRec|Cowboy Bebop<>AutoRec|Lupin III: Lupin vs. Fukusei-ningen<>AutoRec|Lupin III: $1 Money Wars<>AutoRec"
1741;Maria-sama ga Miteru;7.46;13;Jan 8, 2004 to Apr 1, 2004;Thursdays at Unknown;Light novel;24 min. per ep.;2;38,025;Studio Deen;Slice of Life|Drama|Romance|Shoujo|Shoujo Ai;Strawberry Panic<>15 Users|Aria The Animation<>5 Users|Maria†Holic<>4 Users|Oniisama e...<>3 Users|Otome wa Boku ni Koishiteru<>3 Users|Aoi Hana<>3 Users|Black★Rock Shooter (OVA)<>1 User|Yoku Wakaru Gendai Mahou<>1 User|Blue Drop: Tenshi-tachi no Gikyoku<>1 User|Mouryou no Hako<>1 User|Kakumeiki Valvrave<>1 User|Sasameki Koto<>1 User|Taiho Shichau zo: Full Throttle<>1 User|Ochame na Futago: Claire Gakuin Monogatari<>1 User|Ookami-san to Shichinin no Nakama-tachi<>1 User|Shoujo Kakumei Utena<>1 User|Joshikousei: Girl's High<>1 User|Mamoru-kun ni Megami no Shukufuku wo!<>1 User
1742;Mnemosyne: Mnemosyne no Musume-tachi;7.46;6;Feb 4, 2008 to Jul 7, 2008;Unknown;Original;45 min. per ep.;2;111,970;Xebec;Action|Sci-Fi|Horror|Supernatural|Shoujo Ai;Elfen Lied<>14 Users|Kara no Kyoukai 1: Fukan Fuukei<>5 Users|Baccano!<>5 Users|Speed Grapher<>4 Users|Devil May Cry<>3 Users|Kurozuka<>3 Users|Witchblade<>3 Users|Darker than Black: Kuro no Keiyakusha<>3 Users|Canaan<>2 Users|Mardock Scramble: The First Compression<>2 Users|Night Walker: Mayonaka no Tantei<>2 Users|Claymore<>2 Users|Umineko no Naku Koro ni<>1 User|Big Order (TV)<>1 User|Higurashi no Naku Koro ni Kai<>1 User|Bakemonogatari<>1 User|Jormungand<>1 User|Cross Ange: Tenshi to Ryuu no Rondo<>1 User|Yakushiji Ryouko no Kaiki Jikenbo<>1 User|Zombie-Loan<>1 User|Mirai Nikki (TV)<>1 User|Noir<>1 User|Tokkou<>1 User|Death Note<>1 User
1743;Mobile Suit Gundam Thunderbolt 2nd Season;7.46;4;Mar 24, 2017 to Jul 14, 2017;None;Manga;21 min. per ep.;2;8,096;Sunrise;Action|Military|Sci-Fi|Space|Drama|Mecha;Mobile Suit Gundam Thunderbolt<>AutoRec|Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season<>AutoRec|Shingeki no Kyojin Season 2<>AutoRec|Boku no Hero Academia 2nd Season<>AutoRec|Kimi no Na wa.<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo! 2<>AutoRec|Mobile Suit Gundam: Iron-Blooded Orphans<>AutoRec|Made in Abyss<>AutoRec|Koe no Katachi<>AutoRec|One Punch Man<>AutoRec
1744;Nanatsu no Taizai: Seisen no Shirushi;7.46;4;Aug 28, 2016 to Sep 18, 2016;Sundays at 17:00 (JST);Manga;24 min. per ep.;2;131,901;A-1 Pictures;Action|Adventure|Supernatural|Ecchi|Fantasy|Shounen;Nanatsu no Taizai<>AutoRec|Boku no Hero Academia<>AutoRec|Re:Zero kara Hajimeru Isekai Seikatsu<>AutoRec|Shingeki no Kyojin Season 2<>AutoRec|One Punch Man<>AutoRec|Mob Psycho 100<>AutoRec|Shokugeki no Souma: Ni no Sara<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo! 2<>AutoRec|Shingeki no Kyojin<>AutoRec|Kimi no Na wa.<>AutoRec
1745;One Piece: Adventure of Nebulandia;7.46;1;Dec 19, 2015;None;Manga;1 hr. 46 min.;2;13,572;Toei Animation;Action|Adventure|Fantasy|Comedy|Super Power|Shounen;One Piece<>AutoRec|One Punch Man<>AutoRec|Boku no Hero Academia<>AutoRec|One Piece Film: Z<>AutoRec|One Piece Film: Gold<>AutoRec|One Piece Film: Strong World<>AutoRec|One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai<>AutoRec|Shingeki no Kyojin Season 2<>AutoRec|One Piece: Heart of Gold<>AutoRec|Naruto: Shippuuden<>AutoRec
1746;Prince of Tennis: A Day on Survival Mountain;7.46;1;2003;None;Unknown;30 min.;2;12,505;Production I.G;Adventure|Comedy|Shounen|Sports;Prince of Tennis<>AutoRec|Prince of Tennis: The National Tournament<>AutoRec|Prince of Tennis: The National Tournament Semifinals<>AutoRec|Prince of Tennis: The Two Samurai, The First Game<>AutoRec|Prince of Tennis: The National Tournament Finals<>AutoRec|Prince of Tennis: Atobe's Gift<>AutoRec|Ouran Koukou Host Club<>AutoRec|Death Note<>AutoRec|Naruto<>AutoRec|Bleach<>AutoRec
1747;Ristorante Paradiso;7.46;11;Apr 9, 2009 to Jun 25, 2009;Unknown;Manga;22 min. per ep.;2;25,993;David Production;Drama|Josei|Romance|Slice of Life;Seiyou Kottou Yougashiten: Antique<>7 Users|Bartender<>5 Users|Hanasaku Iroha<>2 Users|Working!!<>2 Users|Ikoku Meiro no Croisée The Animation<>2 Users|ACCA: 13-ku Kansatsu-ka<>1 User|Paradise Kiss<>1 User|Otona Joshi no Anime Time<>1 User|Miracle☆Train: Oedo-sen e Youkoso<>1 User|Red Garden<>1 User|Nana<>1 User|Aria The Animation<>1 User|Nodame Cantabile<>1 User|Gin no Saji<>1 User|Ouran Koukou Host Club<>1 User|Yakitate!! Japan<>1 User|Eve no Jikan<>1 User|Saraiya Goyou<>1 User|Chihayafuru<>1 User|Michiko to Hatchin<>1 User
1748;Seikai no Senki Special;7.46;1;Jul 4, 2001;None;Light novel;2 hr.;2;2,382;Sunrise;Action|Military|Romance|Sci-Fi|Space;Seikai no Senki II<>AutoRec|Seikai no Senki<>AutoRec|Seikai no Senki III<>AutoRec|Seikai no Monshou<>AutoRec|Seikai no Monshou Special<>AutoRec|Seikai no Danshou: Tanjou<>AutoRec|Code Geass: Hangyaku no Lelouch<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|Neon Genesis Evangelion<>AutoRec|Mononoke Hime<>AutoRec
1749;Senyuu.;7.46;13;Jan 9, 2013 to Apr 3, 2013;Unknown;Web manga;4 min. per ep.;2;72,111;LIDENFILMS;Action|Comedy|Parody|Fantasy|Shounen;Kono Subarashii Sekai ni Shukufuku wo!<>5 Users|Gintama<>5 Users|Saiki Kusuo no Ψ-nan (TV)<>3 Users|Ixion Saga DT<>3 Users|Minna Atsumare! Falcom Gakuen<>2 Users|Danshi Koukousei no Nichijou<>2 Users|Teekyuu<>2 Users|Hataraku Maou-sama!<>1 User|Tonari no Seki-kun<>1 User|Nobunaga no Shinobi<>1 User|Needless<>1 User|Kono Subarashii Sekai ni Shukufuku wo! 2<>1 User|Danchigai<>1 User|Maoyuu Maou Yuusha<>1 User|Jungle wa Itsumo Hare nochi Guu<>1 User|Inferno Cop<>1 User|Minna Atsumare! Falcom Gakuen SC<>1 User|Plastic Neesan<>1 User|Akame ga Kill!<>1 User|Mahoujin Guruguru (2017)<>1 User|Cuticle Tantei Inaba<>1 User|Mahoujin Guruguru<>1 User|D-Frag!<>1 User|Choboraunyopomi Gekijou Ai Mai Mii<>1 User
1750;Shakugan no Shana S;7.46;4;Oct 23, 2009 to Sep 29, 2010;None;Light novel;28 min. per ep.;2;58,972;J.C.Staff;Action|Drama|Fantasy|Romance|School|Supernatural;Zero no Tsukaima F<>1 User|Zero no Tsukaima: Princesses no Rondo<>1 User|Zero no Tsukaima: Futatsuki no Kishi<>1 User|Zero no Tsukaima<>1 User
